Agent_Age,Agent_Rating,distance,Delivery_Time,Weather,Traffic,Vehicle,Area,weekday,temperature_C,traffic_congestion_index,precipitation_mm,weather_condition,season,peak_hour,delayed
37,4.9,0.0282842712474587,120,Clear,Medium,motorcycle ,Urban ,0,5.1,81,13.0,Storm,Winter,1,1
34,4.5,0.1838477631084997,165,Clear,Medium,scooter ,Metropolitian ,0,34.0,53,11.4,Rain,Autumn,0,1
23,4.4,0.0141421356237356,130,Clear,Medium,motorcycle ,Urban ,0,29.5,67,14.1,Clear,Autumn,0,1
38,4.7,0.0707106781186519,105,Clear,Medium,motorcycle ,Metropolitian ,0,27.4,84,6.4,Clear,Winter,0,1
32,4.6,0.0565685424949188,150,Fog,Medium,scooter ,Metropolitian ,0,0.1,46,18.5,Snow,Spring,0,1
22,4.8,0.0424264068711944,130,Fog,Medium,motorcycle ,Urban ,0,25.2,41,2.3,Rain,Spring,0,1
33,4.7,0.1555634918610396,200,Clear,Medium,scooter ,Metropolitian ,0,3.6,22,6.4,Storm,Spring,1,1
35,4.6,0.1838477631084997,160,Fog,Medium,motorcycle ,Metropolitian ,0,34.1,85,0.6,Clear,Spring,0,1
22,4.8,0.1838477631085085,170,Clear,Medium,motorcycle ,Metropolitian ,0,-2.9,64,5.4,Clear,Summer,0,1
36,4.2,0.098994949366122,230,Clear,Medium,motorcycle ,Metropolitian ,0,9.1,88,4.4,Fog,Summer,0,1
21,4.7,0.0565685424949276,115,Clear,Medium,motorcycle ,Metropolitian ,0,12.1,53,1.0,Snow,Winter,0,1
23,4.7,0.1272792206135833,105,Clear,Medium,scooter ,Metropolitian ,0,28.0,91,9.8,Cloudy,Summer,0,1
34,4.3,0.0282842712474587,100,Clear,Medium,motorcycle ,Metropolitian ,0,25.6,10,9.4,Clear,Summer,0,1
24,4.7,0.1838477631084984,205,Clear,Medium,scooter ,Metropolitian ,0,10.0,62,1.6,Storm,Summer,1,1
29,4.5,0.1272792206135808,100,Clear,Medium,van,Metropolitian ,0,17.6,21,5.2,Storm,Winter,0,1
35,4.0,0.0565685424949288,33,Clear,Medium,scooter ,Metropolitian ,0,28.4,53,19.1,Fog,Summer,0,1
33,4.2,0.1555634918610396,200,Clear,Medium,motorcycle ,Metropolitian ,0,-4.3,88,2.2,Storm,Spring,0,1
34,4.9,0.098994949366122,205,Fog,Medium,motorcycle ,Metropolitian ,0,27.1,84,6.1,Fog,Spring,0,1
21,4.7,0.0424264068711919,75,Clear,Medium,motorcycle ,Urban ,0,32.9,35,0.7,Clear,Winter,1,1
25,4.1,0.1131377920988368,180,Clear,Medium,motorcycle ,Metropolitian ,0,-3.7,57,3.0,Clear,Winter,0,1
31,4.7,0.1838477631084984,130,Clear,Medium,van,Metropolitian ,0,-3.2,19,14.0,Clear,Winter,0,1
37,5.0,0.0141421356237243,100,Clear,Medium,motorcycle ,Metropolitian ,0,8.8,15,7.3,Clear,Autumn,0,1
33,4.3,0.1838477631084997,195,Clear,Medium,scooter ,Metropolitian ,0,-1.5,91,9.0,Cloudy,Summer,0,1
25,4.0,0.0565685424949276,170,Fog,Medium,motorcycle ,Metropolitian ,0,14.2,55,3.1,Snow,Winter,1,1
29,4.5,0.1555634918610396,75,Clear,Medium,van,Metropolitian ,0,24.1,92,13.6,Snow,Winter,0,1
27,5.0,0.0424264068711944,90,Clear,Medium,motorcycle ,Urban ,0,17.7,49,15.0,Cloudy,Winter,0,1
35,4.3,0.1272792206135708,190,Fog,Medium,scooter ,Metropolitian ,0,2.9,89,3.6,Clear,Spring,0,1
32,4.0,0.1272792206135808,235,Clear,Medium,motorcycle ,Metropolitian ,0,21.2,65,0.9,Storm,Winter,0,1
23,4.8,0.1555634918610421,60,Clear,Medium,van,Urban ,0,22.4,73,1.6,Fog,Spring,0,1
31,4.8,0.0424264068711932,130,Clear,Medium,motorcycle ,Metropolitian ,0,32.3,12,13.1,Snow,Spring,1,1
36,4.1,0.0707106781186507,110,Clear,Medium,motorcycle ,Urban ,0,0.9,14,2.7,Rain,Autumn,0,1
26,4.3,0.0707106781186532,105,Clear,Medium,motorcycle ,Urban ,0,22.7,72,9.9,Fog,Winter,1,1
