order_date,product_id,product_name,category,quantity
2024-07-17 08:34:01,642612,Pet Treats,Pet Care,3
2024-05-28 13:14:29,378676,Orange Juice,Cold Drinks & Juices,1
2024-09-23 13:07:12,741341,Eggs,Dairy & Breakfast,2
2023-11-24 16:16:56,561860,Orange Juice,Cold Drinks & Juices,1
2023-11-20 05:00:39,602241,Nuts,Snacks & Munchies,2
2023-03-18 16:29:51,681063,Mango Drink,Cold Drinks & Juices,1
2023-04-16 18:50:37,56589,Vitamins,Pharmacy,3
2024-03-31 06:26:48,500739,Bread,Dairy & Breakfast,2
2023-07-13 23:49:36,490939,Lotion,Personal Care,1
2023-08-09 01:17:30,760828,Pet Treats,Pet Care,2
2023-08-30 19:37:06,753354,Shampoo,Personal Care,3
2023-04-25 20:32:24,684939,Lotion,Personal Care,1
2023-10-22 11:15:33,500739,Bread,Dairy & Breakfast,3
2024-01-28 02:39:11,540618,Popcorn,Snacks & Munchies,1
2024-03-15 21:07:07,53833,Rice,Grocery & Staples,3
2024-02-03 08:50:32,455755,Detergent,Household Care,2
2023-04-26 04:03:57,131937,Frozen Pizza,Instant & Frozen Food,1
2024-04-30 16:22:26,798639,Eggs,Dairy & Breakfast,1
2023-07-27 00:13:05,324809,Bread,Dairy & Breakfast,3
2023-12-09 08:08:08,679284,Cough Syrup,Pharmacy,1
2023-07-01 04:24:22,952168,Popcorn,Snacks & Munchies,3
2023-03-21 05:27:13,706112,Vitamins,Pharmacy,2
2024-05-28 14:59:08,812607,Potatoes,Fruits & Vegetables,2
2024-06-16 10:23:23,799952,Cheese,Dairy & Breakfast,1
2024-06-26 07:13:47,709916,Detergent,Household Care,3
2024-06-23 10:53:47,67197,Butter,Dairy & Breakfast,3
2024-05-07 22:42:49,937542,Wheat Flour,Grocery & Staples,3
2024-07-13 10:38:00,455755,Detergent,Household Care,2
2024-03-27 17:44:43,669378,Potatoes,Fruits & Vegetables,1
2024-11-02 17:15:15,112390,Toothpaste,Personal Care,2
2023-06-24 23:52:15,891833,Curd,Dairy & Breakfast,1
2023-05-02 23:13:42,60619,Iced Tea,Cold Drinks & Juices,1
2024-08-04 23:35:44,561860,Orange Juice,Cold Drinks & Juices,3
2023-08-11 16:52:36,993331,Pulses,Grocery & Staples,1
2024-07-28 04:25:12,94225,Toilet Cleaner,Household Care,3
2023-04-05 18:07:19,552496,Dish Soap,Household Care,1
2024-04-26 09:14:56,57405,Baby Food,Baby Care,3
2023-05-12 05:46:25,240179,Cough Syrup,Pharmacy,3
2024-06-02 13:04:55,602241,Nuts,Snacks & Munchies,3
2023-07-23 10:45:59,131937,Frozen Pizza,Instant & Frozen Food,1
2023-07-24 04:21:07,677542,Toilet Cleaner,Household Care,3
2023-05-06 05:52:44,888807,Bread,Dairy & Breakfast,3
2023-12-06 02:04:19,540618,Popcorn,Snacks & Munchies,1
2024-06-18 07:17:42,876139,Pulses,Grocery & Staples,2
2023-11-08 17:24:58,444361,Pain Reliever,Pharmacy,3
2023-03-17 00:20:41,451812,Pain Reliever,Pharmacy,1
2024-11-01 09:45:47,287070,Wheat Flour,Grocery & Staples,1
2024-08-21 03:59:25,432617,Baby Wipes,Baby Care,3
2024-01-01 00:05:08,131937,Frozen Pizza,Instant & Frozen Food,1
2024-02-08 20:03:51,144124,Detergent,Household Care,2
2024-04-21 06:14:58,324809,Bread,Dairy & Breakfast,1
2023-07-26 02:15:37,888807,Bread,Dairy & Breakfast,2
2024-07-16 00:33:21,684939,Lotion,Personal Care,1
2024-05-02 14:40:25,734789,Popcorn,Snacks & Munchies,1
2023-12-30 12:39:53,876139,Pulses,Grocery & Staples,3
2024-02-03 01:04:33,56589,Vitamins,Pharmacy,2
2023-08-01 07:42:43,890232,Mango Drink,Cold Drinks & Juices,1
