Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,distance,hour_of_day,weekday,Delivery_Time
37,4.9,Sunny,High ,motorcycle ,Urban ,0.028284271247458786,11,5,120
34,4.5,Stormy,Jam ,scooter ,Metropolitian ,0.1838477631084997,19,4,165
23,4.4,Sandstorms,Low ,motorcycle ,Urban ,0.014142135623735673,8,5,130
38,4.7,Sunny,Medium ,motorcycle ,Metropolitian ,0.07071067811865199,18,1,105
32,4.6,Cloudy,High ,scooter ,Metropolitian ,0.05656854249491883,13,5,150
22,4.8,Cloudy,Jam ,motorcycle ,Urban ,0.04242640687119446,21,4,130
33,4.7,Fog,Jam ,scooter ,Metropolitian ,0.15556349186103965,19,4,200
35,4.6,Cloudy,Medium ,motorcycle ,Metropolitian ,0.1838477631084997,17,0,160
22,4.8,Stormy,Jam ,motorcycle ,Metropolitian ,0.1838477631085085,20,6,170
36,4.2,Fog,Jam ,motorcycle ,Metropolitian ,0.09899494936612209,21,5,230
21,4.7,Stormy,High ,motorcycle ,Metropolitian ,0.05656854249492762,14,6,115
23,4.7,Sandstorms,Medium ,scooter ,Metropolitian ,0.12727922061358338,17,4,105
34,4.3,Sandstorms,Low ,motorcycle ,Metropolitian ,0.028284271247458786,9,6,100
24,4.7,Fog,Jam ,scooter ,Metropolitian ,0.18384776310849843,19,0,205
29,4.5,Sandstorms,Jam ,van,Metropolitian ,0.12727922061358088,20,5,100
35,4.0,Windy,High ,scooter ,Metropolitian ,0.056568542494928875,14,1,33
33,4.2,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.15556349186103965,20,2,200
34,4.9,Cloudy,Jam ,motorcycle ,Metropolitian ,0.09899494936612209,20,6,205
21,4.7,Windy,Jam ,motorcycle ,Urban ,0.042426406871191945,21,1,75
25,4.1,Sandstorms,Jam ,motorcycle ,Metropolitian ,0.1131377920988368,20,2,180
31,4.7,Sandstorms,Low ,van,Metropolitian ,0.18384776310849843,22,3,130
37,5.0,Sandstorms,Low ,motorcycle ,Metropolitian ,0.014142135623724367,8,4,100
33,4.3,Windy,Jam ,scooter ,Metropolitian ,0.1838477631084997,19,6,195
25,4.0,Cloudy,High ,motorcycle ,Metropolitian ,0.05656854249492762,12,5,170
29,4.5,Sunny,Medium ,van,Metropolitian ,0.15556349186103965,18,6,75
